t,o,h,l,c,a,v,ch
2024-10-21,228.44,233.07,222.87,229.58,227.364542,11228216,0.1
2024-10-28,229.5,236.455,216.56,220.58,218.451393,17219286,-3.92
2024-11-04,219.93,233.405,218.5,231.36,229.127365,12569215,4.89
2024-11-11,229.18,229.18,210.585,211.21,209.171814,17839314,-8.71
2024-11-18,211.15,217.26,209.65,216.17,214.08395,15720489,2.35
2024-11-25,218.97,220.59,208.89,215.4,213.32138,11199190,-0.36
2024-12-02,216.7,224.32,216.519,219.83,217.70863,12548194,2.06
2024-12-09,218.5,224.66,212.19,223.3,221.145145,13776390,1.58
2024-12-16,224.01,228.58,210.3,214.82,213.082218,19534069,-3.65
2024-12-23,216.47,224.95,216.47,221.64,219.847048,7535800,3.17
2024-12-30,217.84,223.04,214.64,222.47,220.670334,8954990,0.37
2025-01-06,227.26,231.89,216.78,218.2,216.434876,15051033,-1.92
2025-01-13,213.85,230.32,213.66,229.74,227.881523,13517838,5.29
2025-01-21,231.81,238.34,229.71,230.64,228.774243,11459523,0.39
2025-01-27,219.0,224.29,208.98,218.13,216.365442,37016732,-5.42
2025-02-03,212.39,222.08,210.96,216.87,215.115635,15998896,-0.58
2025-02-10,218.45,223.77,215.95,223.07,221.26548,10379405,2.86
2025-02-18,224.7,233.44,223.13,223.98,222.168118,11830036,0.41
2025-02-24,224.97,225.34,203.12,208.52,206.833182,17520780,-6.9
2025-03-03,211.51,211.65,196.48,203.85,202.20096,22670626,-2.24
2025-03-10,198.82,201.705,189.11,201.12,199.493044,18531407,-1.34
2025-03-17,200.31,206.43,196.37,199.38,198.020035,12684032,-0.74
2025-03-24,203.57,206.66,187.44,188.68,187.393019,16728179,-5.37
2025-03-31,184.7,192.02,154.61,157.63,156.55481,33707636,-16.46
2025-04-07,152.03,185.56,148.31,172.26,171.08502,77639193,9.28
2025-04-14,177.55,177.55,161.83,166.55,165.413967,23984439,-3.31
2025-04-21,163.14,186.12,160.26,184.81,183.549416,28187772,10.96
2025-04-28,183.89,191.87,176.769,190.03,188.733811,18561912,2.82
2025-05-05,188.19,195.63,184.268,193.94,192.617141,15436652,2.06
2025-05-12,206.8,216.7,204.99,213.13,211.676247,27270434,9.89
2025-05-19,208.22,213.9,199.93,202.56,201.178344,28235735,-4.96
2025-05-27,206.96,213.17,201.115,204.94,203.54211,32210565,1.17
2025-06-02,204.42,220.28,204.29,217.34,215.85753,40806276,6.05
2025-06-09,219.325,229.8,219.13,220.96,219.452838,41427514,1.67
2025-06-16,223.585,229.64,222.16,225.11,224.064598,27922400,2.1
2025-06-23,225.015,241.234,221.86,238.86,237.750743,28255604,6.11
2025-06-30,240.165,244.198,234.08,243.34,242.209938,24866638,1.88
2025-07-07,241.29,247.52,237.75,246.17,245.026796,24069522,1.16
2025-07-14,244.15,249.96,239.215,246.73,245.584195,28473554,0.23
2025-07-21,247.355,250.19,239.06,241.54,240.418297,25174515,-2.1
2025-07-28,244.21,249.53,232.33,237.24,236.138266,35001554,-1.78
2025-08-04,238.76,243.37,233.67,242.87,241.742121,27680519,2.37
2025-08-11,243.78,255.06,241.95,248.32,247.166811,32402096,2.24
2025-08-18,247.54,251.99,237.1,249.09,247.933235,29018154,0.31
2025-08-25,248.85,254.32,244.17,245.32,244.180743,25344560,-1.51
2025-09-02,238.67,248.5,238.15,247.05,245.902709,41080308,0.71
2025-09-08,248.405,256.51,247.23,255.64,254.452817,50424680,3.48
2025-09-15,255.2,268.98,254.53,265.86,265.181587,39790097,4.22
2025-09-22,266.65,272.13,261.8,268.83,268.144009,38017393,1.12
2025-09-29,271.72,284.34,267.76,279.96,279.245608,38265578,4.14
2025-10-06,290.99,292.51,271.46,271.99,271.295945,64823507,-2.85
2025-10-13,282.78,292.26,277.36,288.17,287.434658,38446558,5.95
2025-10-20,290.61,298.22,278.46,295.86,295.105034,27668804,2.67
2025-10-27,301.43,312.79,300.405,306.55,305.767756,23619501,3.61
2025-11-03,310.4,311.753,283.59,294.38,293.628811,36335810,-3.97
2025-11-10,302.44,303.36,279.41,288.52,287.783764,34176304,-1.99
2025-11-17,286.07,291.53,260.44,270.83,270.138905,53154048,-6.13
2025-11-24,273.78,296.99,272.76,296.74,295.982789,21223838,9.57
2025-12-01,292.87,312.83,292.53,309.4,308.610484,21864756,4.27
2025-12-08,311.925,317.35,297.96,299.48,298.715797,31808287,-3.21
2025-12-15,302.595,303.5,284.43,299.81,299.483384,33329603,0.26
2025-12-22,306.725,307.54,301.37,306.04,305.706597,10311724,2.08
2025-12-29,303.37,315.81,301.11,313.69,313.348263,18051126,2.5
2026-01-05,320.7,330.67,316.4,328.78,328.421824,32762935,4.81
2026-01-12,325.695,345.41,325.53,342.47,342.09691,26123138,4.16
2026-01-20,336.2,354.6,335.96,344.71,344.334469,22434600,0.65
2026-01-26,343.29,363.8,341.13,346.3,345.922737,32281594,0.46
2026-02-02,342.37,357.12,323.33,348.51,348.13033,50863199,0.64
2026-02-09,344.84,365.38,343.88,354.66,354.27363,36291842,1.76
2026-02-17,349.805,361.665,345.32,359.43,359.038433,21340158,1.34
2026-02-23,357.57,368.82,348.34,352.29,351.906212,36664904,-1.99
2026-03-02,343.79,352.33,321.49,323.51,323.157565,51852973,-8.17
2026-03-09,318.31,345.56,316.22,331.32,330.959057,37969708,2.41
2026-03-16,338.89,343.44,326.76,332.51,332.352333,36587500,0.42
2026-03-23,340.115,347.68,322.16,323.48,323.326614,35814783,-2.72
2026-03-30,326.75,342.65,307.255,339.61,339.448966,43893141,4.99
2026-04-06,341.52,389.603,338.47,386.6,386.416684,28633274,13.84
2026-04-13,384.88,415.73,384.37,415.71,415.512881,25279733,7.53
2026-04-20,417.43,463.87,411.79,461.6,461.381121,33612216,11.04
2026-04-27,461.75,466.91,431.74,465.75,465.529154,35238491,0.9
2026-05-04,467.93,520.46,457.81,520.3,520.053287,39873016,11.71
2026-05-11,524.08,533.74,495.71,508.52,508.278873,44100177,-2.26
2026-05-18,518.02,541.89,477.95,537.33,537.075212,46094653,5.67
2026-05-26,556.99,584.5,551.89,569.08,568.810157,34426251,5.91
2026-06-01,563.67,618.84,539.57,539.77,539.514055,56862118,-5.15
2026-06-08,569.765,602.69,522.24,596.25,595.967274,76305878,10.46
2026-06-15,622.61,644.43,590.63,639.45,639.45,37990107,7.3
2026-06-22,653.955,655.95,586.66,589.94,589.94,52801786,-7.74
2026-06-29,593.71,644.94,571.6,599.7,599.7,29774729,1.65
