date,open,high,low,close,volume
2024-11-11,226.96846040069462,226.96846040069462,220.6302249190578,223.393310546875,4250400
2024-11-12,222.61092962508053,222.9773543845838,218.02560309812586,220.95704650878906,3259700
2024-11-13,219.36258809248432,219.9865136076295,215.86665279591605,216.26278686523438,3057500
2024-11-14,218.37225004976375,219.23385001018346,215.73791451763026,216.13406372070312,2523600
2024-11-15,212.49948332102753,213.58885964662488,208.55787802048428,209.17190551757812,4748200
2024-11-18,209.11244840867437,212.26177004911455,208.21124116954417,211.8755340576172,2422300
2024-11-19,211.2714090040014,212.73712306200207,210.4197072314717,212.2815704345703,2363400
2024-11-20,211.0139363647008,211.61803551396375,207.62692518997346,210.65740966796875,3995000
2024-11-21,212.97485910787802,215.16352505577663,208.86489583143927,213.9949188232422,4245400
2024-11-22,213.53930400475417,214.60888402771047,212.48953521691135,214.08399963378906,2672600
2024-11-25,216.8570043968558,218.17417209707494,214.78717591574554,216.1736602783203,2787700
2024-11-26,217.8770530401748,218.461356055648,211.70717526940618,213.37095642089844,2783900
2024-11-27,212.1825444648412,212.34100413415302,206.87426643526126,210.50885009765625,3122300
2024-11-29,212.0537945164656,215.91616962801024,212.01418715483172,213.32144165039062,2505300
2024-12-02,214.60890620963787,220.32323165115386,214.43065040982637,218.9268341064453,3707000
2024-12-03,217.5304288812029,218.92682637660766,216.9065184923453,217.6888885498047,1914900
2024-12-04,221.98702504667094,222.15539790443765,219.00607593146415,220.57083129882812,2681200
2024-12-05,220.1845889661008,220.5114063858391,215.78743111732607,216.4014434814453,2422000
2024-12-06,216.49056789747922,218.25339011077926,215.8963517105385,217.7086944580078,1822900
2024-12-09,216.39152149939412,219.4021794972624,215.28233409673922,216.65892028808594,1574800
2024-12-10,217.31254743717994,217.46110904115145,210.14242132056913,211.5091094970703,2566600
2024-12-11,214.63860506892033,218.10483093774576,213.32143742538122,216.82728576660156,3233900
2024-12-12,215.29222323896187,216.07459322558915,213.38085466096626,215.1436767578125,2680200
2024-12-13,220.15486762737885,222.49209486462505,217.88695705089785,221.1452178955078,3720600
2024-12-16,221.8483604618979,226.37426848849648,220.2439978463122,225.24526977539062,4774000
2024-12-17,223.0214053616838,224.350563302101,220.75984807533004,222.0592498779297,2397300
2024-12-18,223.52728899452575,225.32264660003352,212.2194874770032,213.84622192382812,4426000
2024-12-19,214.3421794757143,214.80837915042864,209.7397101397988,210.25550842285156,3255700
2024-12-20,209.1048832688333,216.01850837446264,208.5990137984348,213.08245849609375,4681100
2024-12-23,214.71908459901962,219.80759546063757,214.71908459901962,219.5298614501953,3044300
2024-12-24,220.97805288007493,221.87076721681433,219.55962663508708,221.7914276123047,1252300
2024-12-26,220.18450379943022,223.13048207517937,219.8968561327878,221.7219696044922,1303500
2024-12-27,220.39284445512075,220.91855640094866,217.07986328905085,219.8472900390625,1933000
2024-12-30,216.07805116403608,217.53616264180897,213.92560449098372,215.5225830078125,2566900
2024-12-31,216.16729142667802,217.05010729575864,212.90390886632832,213.74703979492188,1354500
2025-01-02,215.91931364081535,218.43877762517056,213.221327965651,215.0662841796875,2409100
2025-01-03,216.4846948111887,221.2359444546989,216.19704712254833,220.67056274414062,2623200
2025-01-06,225.42180857602125,229.92509539237332,225.42180857602125,227.0584716796875,4176500
2025-01-07,229.82590015857951,230.01436577232,222.74365238788047,223.9636993408203,3694800
2025-01-08,223.22969921579627,223.6363865871757,219.32156525455238,221.73190307617188,3141400
2025-01-10,218.9545528301755,219.09341983658192,215.02657657910063,216.43508911132812,4038000
2025-01-13,212.12031075153766,216.07802851751958,211.9318451178489,215.77053833007812,2310000
2025-01-14,217.5758097520904,218.96447990116633,214.37192447147254,217.18896484375,1492800
2025-01-15,220.6804804530287,222.8329267300032,219.8770345080946,221.4045867919922,2900200
2025-01-16,225.41190161691702,225.9475271988205,221.7219894093221,221.73190307617188,3029500
2025-01-17,226.73116900332658,228.45710074003594,225.5210355675943,227.8817901611328,3785500
2025-01-21,229.93503190027778,232.68263134577288,227.94129497815953,230.56985473632812,3201500
2025-01-22,232.93061028222266,236.41221466066466,232.4247407988023,233.90267944335938,3461100
2025-01-23,230.15323609138383,233.4761458431672,229.31010521843308,233.46621704101562,2567100
2025-01-24,233.5753232792627,233.5753232792627,227.85200463802414,228.77447509765625,2229900
2025-01-27,217.22863724693687,217.83370391956916,208.04354141299126,210.830810546875,16943600
2025-01-28,211.8921721434827,213.03287967772877,207.2897024688734,211.7731475830078,9118300
2025-01-29,213.81645976290855,214.43144010494203,210.43403761098497,212.64601135253906,2430800
2025-01-30,215.2547157972505,218.21062305577328,214.01482638405534,216.97073364257812,4653800
2025-01-31,218.21061762744677,222.4758249944394,215.71099639472402,216.36566162109375,3867800
2025-02-03,210.6721106318714,215.09604316420754,209.25368426499588,212.46746826171875,3646800
2025-02-04,211.99135752401278,215.5126468832589,211.70369467177434,214.64967346191406,3742300
2025-02-05,214.08429215145915,219.2521433459777,212.74520537659305,218.8057861328125,2200500
2025-02-06,217.27823794745294,218.9148860253234,216.117703197357,218.51812744140625,3111700
2025-02-07,219.0239940408234,220.28372598810307,213.64783508161983,215.11585998535156,3297400
2025-02-10,216.68308414339575,218.4685280352298,216.65332800647934,217.9229736328125,2698600
2025-02-11,216.12760117778888,219.38106976295234,216.12760117778888,218.121337890625,1549700
2025-02-12,214.6893508538973,218.4387755212504,214.20330871725153,218.3594207763672,2017500
2025-02-13,218.17094335201764,221.18636295304574,218.11143108041577,221.03756713867188,2546800
2025-02-14,221.01773866542572,221.96005161012474,220.12500918989315,221.26571655273438,1566200
2025-02-18,222.8825372935503,225.63013671030632,221.66249024264945,224.92587280273438,3605000
2025-02-19,225.3127087805088,229.74655474287223,224.42990808192692,228.66537475585938,2635700
