timestamp,open,high,low,close,volume
2026-06-26T13:30,601.32,605.8,591.52,601.39,2849377
2026-06-26T14:30,601.455,602.1,590.5,596.53,1071846
2026-06-26T15:30,596.46,601.39,593.57,597.0778,886782
2026-06-26T16:30,597.255,602.5,597.05,600.4,1196122
2026-06-26T17:30,600.545,601.87,592.82,593.18,588595
2026-06-26T18:30,593.295,595.83,590.84,594.17,1133418
2026-06-26T19:30,594.19,598.17,588.53,588.53,1826838
2026-06-29T13:30,593.75,599.22,571.6,585.36,3726962
2026-06-29T14:30,585.34,599.1,582.89,598.89,1792860
2026-06-29T15:30,599.04,608.98,599.03,606.95,1316051
2026-06-29T16:30,607.05,612.6799,605.13,612.45,918386
2026-06-29T17:30,612.47,614.2353,610.5008,612.265,646332
2026-06-29T18:30,612.31,615.3499,610.0,612.75,951281
2026-06-29T19:30,612.77,614.8299,609.52,613.89,1138851
2026-06-30T13:30,617.16,637.09,616.61,636.435,2532216
2026-06-30T14:30,636.35,637.4099,632.05,634.54,1351512
2026-06-30T15:30,634.45,638.54,633.49,636.73,1329607
2026-06-30T16:30,636.55,639.19,635.61,639.0975,764183
2026-06-30T17:30,639.1512,640.36,637.89,639.78,787257
2026-06-30T18:30,639.8,643.685,639.73,642.46,1221549
2026-06-30T19:30,642.365,644.92,639.86,639.996,1278203
2026-07-01T13:30,616.815,622.89,609.05,615.71,2285171
2026-07-01T14:30,615.64,615.92,604.57,610.415,1849524
2026-07-01T15:30,610.44,612.125,605.5063,607.71,592182
2026-07-01T16:30,607.55,608.99,603.11,604.55,625262
2026-07-01T17:30,604.725,605.0399,600.92,601.576,662445
2026-07-01T18:30,601.56,606.8,597.88,606.16,1357552
2026-07-01T19:30,606.35,609.49,598.53,599.2,1749768
2026-07-02T13:30,601.235,608.11,587.01,587.54,3012052
2026-07-02T14:30,587.66,589.53,570.9,574.45,2655320
2026-07-02T15:30,574.66,581.1301,566.275,566.53,1379946
2026-07-02T16:30,566.58,567.67,560.8608,561.35,1426219
2026-07-02T17:30,561.48,564.29,556.75,562.79,1488945
2026-07-02T18:30,562.82,564.715,554.91,559.34,2004090
2026-07-02T19:30,559.62,567.16,559.0,566.09,3131025
